paisresidencia,genero,rangoedad,cantidad,transporte,parking,parkingrelpreciocal,dispcarritos,checkintiempespera,checkineficiencia,checkincortesia,ctrlpastiempoespera,ctrlpascortesia,segcortesia,segmeticulosidad,segtiempoespera,segsensacionprot,orientsenalizacion,orientpantallainfo,oientdistancia,orientfacilidconexion,instalcortesia,instalrestaurant,instalrestaurantrelpreciocal,instaldispbancoatm,instaltiendas,instaltiendasrelpreciocal,instalinternetwifi,instalsalasvip,instalbanosdisp,instalbanoslimpieza,instalcomodidadzonaespera,installimpiezageneral,instalambiente,satisfacciongeneral,controlpasaportes,rapidesentregaequipaje,controladuanero
Argentina, , ,1,2.000,0.000,0.000,2.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,0.000,4.000,4.000,4.000,2.000,2.000,2.000,2.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000,3.000,3.000,0.000
Argentina, ,22 a 25,2,1.000,0.000,0.000,2.500,3.500,1.500,1.500,2.500,2.500,4.500,4.500,4.500,4.500,4.500,4.000,4.500,2.500,4.000,4.000,4.000,0.000,0.000,0.000,2.000,0.000,3.000,3.000,4.000,3.000,4.000,4.000,0.000,0.000,0.000
Argentina, ,26 a 34,4,3.500,1.250,1.000,2.000,3.750,2.750,2.750,3.000,2.750,3.750,3.250,3.000,3.250,4.000,4.250,4.250,0.000,3.250,3.000,1.750,2.500,2.500,2.500,1.750,0.000,2.250,3.500,3.500,4.250,4.000,4.250,2.750,1.750,1.750
Argentina, ,55 a 64,2,1.500,0.000,0.000,0.000,1.500,1.500,1.500,1.500,1.500,4.000,4.000,4.000,4.000,3.500,3.500,3.500,2.000,4.000,2.500,1.500,2.500,2.000,2.000,3.500,0.000,0.500,3.500,4.000,4.000,4.000,4.000,2.500,0.000,0.000
Argentina, ,76 o mas,1,4.000,0.000,0.000,0.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,0.000,4.000,4.000,4.000,0.000,0.000,0.000,0.000,0.000,5.000,5.000,5.000,5.000,5.000,5.000,4.000,4.000,4.000
Argentina,Femenino, ,1,4.000,0.000,0.000,0.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,4.000,3.000,5.000,4.000,0.000,5.000,0.000,0.000,0.000,4.000,0.000,4.000,0.000,4.000,4.000,4.000,4.000,4.000,4.000,0.000,0.000,0.000
Argentina,Femenino,16 a 21,26,1.885,0.154,0.154,1.500,2.269,2.538,2.654,2.731,2.808,3.692,3.731,3.923,4.500,4.077,4.385,3.615,1.731,4.115,2.538,2.115,1.038,2.731,2.038,3.385,0.731,4.231,3.846,3.538,4.346,4.385,4.308,2.692,2.654,2.462
Argentina,Femenino,22 a 25,36,2.000,0.472,0.361,1.528,2.417,2.444,2.389,2.500,2.583,3.972,4.028,4.083,4.167,4.139,4.056,3.778,1.111,3.889,2.167,1.750,1.361,2.694,1.889,3.167,0.444,3.611,3.278,3.611,4.472,4.417,4.083,2.111,1.611,1.694
Argentina,Femenino,26 a 34,85,2.671,0.235,0.271,1.965,2.941,3.047,3.118,3.129,2.835,3.729,3.812,3.800,3.859,4.024,3.988,3.835,1.059,3.800,2.812,2.400,1.729,2.682,2.118,3.035,0.647,3.812,3.612,3.941,4.388,4.294,4.259,3.059,2.624,2.718
Argentina,Femenino,35 a 44,36,2.250,0.361,0.250,2.667,3.083,3.278,3.361,3.056,2.722,3.833,4.111,4.056,4.111,4.139,4.111,3.778,0.694,3.944,2.611,1.750,1.806,2.556,2.000,3.083,0.694,3.556,3.833,3.778,4.306,4.222,4.250,2.667,2.444,2.556
Argentina,Femenino,45 a 54,37,1.973,0.378,0.351,0.703,3.000,3.351,3.378,2.649,2.703,4.000,3.838,4.000,4.054,4.378,4.162,4.081,1.189,4.135,2.432,2.081,1.622,2.135,2.081,3.081,0.405,4.054,4.135,4.000,4.270,4.459,4.270,2.730,2.243,2.541
Argentina,Femenino,55 a 64,37,0.811,0.189,0.000,1.054,2.432,2.541,2.703,1.757,1.946,2.973,3.405,3.027,3.459,3.919,4.027,3.622,2.216,3.486,3.135,2.459,0.919,2.081,1.649,2.108,0.676,4.189,4.216,4.000,4.135,4.000,3.811,1.865,1.595,1.784
Argentina,Femenino,65 a 75,12,2.083,0.417,0.000,1.917,2.083,2.083,2.417,2.833,2.917,3.500,3.583,3.500,4.000,3.833,3.167,3.917,0.833,4.167,2.583,2.250,2.333,2.417,2.333,3.250,0.667,3.333,3.250,3.333,4.083,3.917,4.333,3.083,2.500,2.417
Argentina,Masculino, ,1,5.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,0.000,5.000,5.000,5.000,0.000,5.000,5.000,5.000,0.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,0.000,0.000
Argentina,Masculino,16 a 21,14,1.786,0.286,0.000,1.571,3.214,3.286,3.357,2.857,3.071,3.071,3.286,3.786,4.143,4.500,3.786,3.929,2.071,3.786,2.071,1.571,1.000,1.786,1.429,4.071,0.643,3.500,4.000,3.714,4.071,4.214,3.714,2.286,2.214,1.929
Argentina,Masculino,22 a 25,33,3.030,0.606,0.545,1.152,3.424,3.455,3.242,2.455,2.606,3.879,4.061,3.788,3.879,4.273,4.212,3.939,0.485,3.394,2.727,2.303,0.939,2.818,1.939,2.909,0.455,3.939,3.970,3.455,4.333,4.091,4.242,2.273,2.303,2.364
Argentina,Masculino,26 a 34,61,1.951,0.492,0.475,1.738,2.820,2.607,2.672,2.951,2.934,4.180,3.951,4.164,4.180,4.131,4.033,3.984,1.475,4.016,2.951,2.639,2.082,2.541,2.115,3.410,0.885,4.082,4.033,3.869,4.279,4.197,4.180,3.197,3.016,3.164
Argentina,Masculino,35 a 44,39,2.718,0.333,0.333,1.487,3.333,3.462,3.462,3.077,3.026,3.436,3.744,3.923,4.077,4.051,3.974,3.795,0.718,4.051,2.692,2.205,1.769,2.615,2.051,2.872,0.897,3.974,3.795,3.872,4.231,4.026,3.949,2.667,2.846,2.513
Argentina,Masculino,45 a 54,22,2.818,0.773,0.682,1.955,3.273,3.227,3.591,3.909,3.545,4.045,3.955,4.045,4.227,4.273,4.182,3.818,1.273,4.227,2.818,2.227,2.227,3.227,2.455,3.000,0.682,4.000,4.000,4.136,4.364,4.455,4.318,2.773,2.636,2.727
Argentina,Masculino,55 a 64,29,2.793,0.276,0.379,1.103,3.517,3.724,3.517,2.621,2.379,3.621,3.552,3.862,3.793,4.034,4.172,3.517,0.241,3.724,2.759,2.310,0.862,1.483,1.207,2.448,0.655,4.000,3.862,3.586,4.345,4.241,3.862,2.207,2.414,1.862
Argentina,Masculino,65 a 75,6,2.000,0.833,0.667,1.333,1.833,3.167,3.000,3.500,3.000,4.333,3.833,3.500,3.667,4.500,3.833,4.167,1.333,3.667,1.167,1.500,3.500,1.667,1.167,2.000,1.500,3.333,3.333,4.667,3.833,4.500,4.667,2.667,2.167,2.000
Argentina,Masculino,76 o mas,2,4.000,0.000,0.000,2.000,2.500,2.500,2.500,0.000,0.000,4.500,4.500,4.500,5.000,5.000,5.000,4.500,0.000,5.000,4.500,2.500,2.000,3.000,3.000,2.500,0.000,4.500,4.500,4.000,4.500,4.500,4.000,2.000,2.000,0.000
Extranjero, , ,65,2.923,0.215,0.123,2.015,3.231,3.600,3.569,2.077,1.862,3.369,3.785,3.477,3.938,3.723,3.569,3.462,0.000,3.800,3.000,2.708,2.169,2.831,2.338,2.723,1.462,3.708,3.508,3.385,3.692,3.677,3.708,1.677,2.092,1.462
Extranjero, ,16 a 21,8,3.500,1.750,1.750,2.750,4.000,4.125,4.250,4.250,3.625,4.125,4.125,4.625,4.125,4.125,4.125,4.500,0.000,3.625,4.125,3.625,3.875,3.750,2.875,4.375,3.125,4.375,4.375,4.250,4.750,4.625,4.750,3.625,2.500,4.375
Extranjero, ,22 a 25,9,3.333,0.556,0.556,2.444,3.889,4.000,4.111,2.556,2.556,3.778,3.556,3.889,3.667,4.333,4.333,4.111,0.000,4.444,3.889,3.000,3.222,3.778,3.333,3.444,2.444,4.111,3.778,3.556,4.333,4.556,3.333,3.222,4.000,2.222
Extranjero, ,26 a 34,912,2.836,0.877,0.754,2.600,3.571,3.632,3.622,2.385,2.411,3.719,3.891,3.876,3.874,4.035,3.876,3.958,0.480,3.730,3.110,2.865,2.242,2.814,2.459,2.649,1.432,3.706,3.624,3.816,4.064,3.999,4.135,2.155,2.655,1.837
Extranjero, ,35 a 44,596,2.669,0.856,0.676,2.223,3.349,3.419,3.379,2.337,2.272,3.674,3.698,3.639,3.686,4.060,3.807,3.866,0.542,3.460,2.968,2.644,1.958,2.644,2.181,2.399,1.206,3.537,3.388,3.565,4.015,3.819,3.982,2.153,2.495,1.807
Extranjero, ,45 a 54,554,2.610,0.827,0.644,2.032,3.381,3.444,3.390,2.356,2.309,3.560,3.727,3.720,3.823,4.029,3.874,3.946,0.453,3.617,2.892,2.657,1.868,2.444,2.052,2.431,1.150,3.634,3.509,3.594,3.993,3.782,3.960,2.103,2.384,1.769
Extranjero, ,55 a 64,561,2.198,0.756,0.599,1.774,3.447,3.369,3.398,2.349,2.275,3.627,3.643,3.651,3.790,4.032,3.900,3.832,0.579,3.476,2.800,2.462,1.398,2.278,1.866,2.403,0.834,3.572,3.583,3.635,3.963,3.706,3.930,2.061,2.109,1.779
Extranjero, ,65 a 75,323,2.149,0.684,0.533,1.697,3.458,3.449,3.480,2.238,2.180,3.632,3.588,3.594,3.746,3.969,3.802,3.728,0.570,3.458,2.848,2.347,1.121,1.929,1.567,1.799,0.579,3.588,3.601,3.548,4.015,3.848,3.985,2.022,2.037,1.579
Extranjero, ,76 o mas,74,1.689,0.770,0.662,1.432,3.135,3.230,3.284,2.446,2.338,3.541,3.270,3.446,3.432,3.973,3.608,3.662,0.662,3.297,2.162,1.824,0.946,1.581,1.365,1.189,0.581,3.459,3.541,3.541,4.054,3.716,3.757,1.595,2.041,1.514
Extranjero,Femenino, ,42,3.310,0.976,0.714,2.286,3.595,3.095,3.238,2.524,2.786,4.167,3.905,3.762,4.143,4.000,3.881,3.929,0.000,3.619,3.071,2.833,1.500,2.500,1.976,2.310,1.381,3.667,3.595,3.667,4.000,3.786,4.190,2.548,2.881,1.976
Extranjero,Femenino,16 a 21,8143,2.603,1.047,0.888,2.311,3.547,3.590,3.581,2.735,2.726,4.000,4.044,4.044,4.243,4.321,4.208,4.147,0.729,3.979,3.098,2.701,1.958,2.641,2.306,2.988,1.330,3.925,3.730,3.966,4.348,4.187,4.268,2.400,2.432,2.005
Extranjero,Femenino,22 a 25,11672,2.891,0.904,0.809,2.505,3.661,3.678,3.660,2.811,2.790,4.040,4.105,4.118,4.238,4.337,4.243,4.197,0.629,3.969,3.234,2.882,2.153,2.809,2.483,3.054,1.473,3.969,3.843,4.015,4.359,4.217,4.302,2.358,2.452,1.972
Extranjero,Femenino,26 a 34,19691,2.761,0.835,0.729,2.270,3.536,3.545,3.537,2.599,2.565,3.959,4.031,4.025,4.147,4.278,4.157,4.143,0.604,3.858,3.115,2.754,1.952,2.698,2.370,2.799,1.199,3.877,3.734,3.886,4.263,4.099,4.206,2.275,2.419,1.915
Extranjero,Femenino,35 a 44,12634,2.532,0.868,0.732,2.005,3.401,3.396,3.404,2.417,2.390,3.866,3.934,3.910,4.047,4.234,4.089,4.062,0.588,3.738,3.027,2.614,1.679,2.581,2.194,2.508,0.936,3.798,3.641,3.810,4.149,3.996,4.108,2.102,2.319,1.765
Extranjero,Femenino,45 a 54,11257,2.363,0.846,0.696,1.703,3.360,3.360,3.367,2.266,2.237,3.777,3.885,3.857,3.978,4.198,4.061,4.016,0.557,3.629,2.847,2.407,1.351,2.361,1.940,2.390,0.699,3.738,3.599,3.711,4.076,3.891,4.045,2.036,2.154,1.674
Extranjero,Femenino,55 a 64,9519,2.178,0.718,0.593,1.548,3.463,3.494,3.494,2.283,2.267,3.750,3.856,3.835,3.994,4.205,4.080,3.952,0.573,3.596,2.704,2.279,1.104,2.108,1.688,2.253,0.568,3.838,3.690,3.767,4.112,3.922,4.044,2.017,2.101,1.603
Extranjero,Femenino,65 a 75,5309,2.054,0.594,0.487,1.451,3.533,3.600,3.611,2.329,2.342,3.784,3.875,3.841,4.005,4.123,3.994,3.783,0.544,3.496,2.436,2.069,0.853,1.816,1.416,1.951,0.398,3.822,3.700,3.776,4.135,3.939,4.016,2.033,2.026,1.528
Extranjero,Femenino,76 o mas,706,1.885,0.605,0.455,1.431,3.581,3.765,3.745,2.341,2.353,3.793,3.856,3.776,3.977,3.857,3.609,3.324,0.458,3.586,2.279,1.933,0.721,1.513,1.139,1.458,0.285,3.690,3.659,3.715,4.149,3.939,4.025,1.915,2.018,1.472
Extranjero,Masculino, ,44,2.909,2.136,1.500,2.864,4.023,3.932,4.295,2.773,2.932,4.068,3.909,3.818,3.909,4.205,4.227,3.773,0.000,3.705,3.227,2.636,2.614,2.727,2.159,2.818,1.614,3.955,3.864,3.705,4.295,3.909,4.091,2.523,2.614,2.568
Extranjero,Masculino,16 a 21,6587,2.563,1.124,0.972,2.445,3.517,3.585,3.587,2.704,2.696,3.922,3.942,3.906,4.110,4.225,4.100,4.037,0.843,3.842,3.090,2.715,2.091,2.610,2.299,2.945,1.420,3.758,3.603,3.808,4.252,4.066,4.199,2.235,2.278,1.913
Extranjero,Masculino,22 a 25,9778,3.000,0.982,0.876,2.800,3.816,3.825,3.838,2.793,2.782,4.102,4.155,4.151,4.273,4.344,4.230,4.209,0.683,4.029,3.286,2.974,2.490,2.892,2.615,3.121,1.650,3.979,3.919,4.052,4.420,4.265,4.360,2.325,2.602,1.986
Extranjero,Masculino,26 a 34,21166,2.868,0.889,0.779,2.549,3.667,3.681,3.679,2.645,2.622,3.999,4.059,4.040,4.187,4.278,4.163,4.131,0.681,3.904,3.184,2.841,2.220,2.748,2.440,2.821,1.397,3.880,3.803,3.942,4.328,4.149,4.250,2.332,2.588,1.977
Extranjero,Masculino,35 a 44,16176,2.677,0.927,0.780,2.271,3.498,3.489,3.493,2.401,2.373,3.864,3.941,3.915,4.072,4.181,4.049,4.040,0.586,3.687,3.036,2.643,1.940,2.580,2.199,2.510,1.148,3.724,3.645,3.756,4.183,4.013,4.105,2.192,2.411,1.849
Extranjero,Masculino,45 a 54,13828,2.566,0.916,0.757,2.012,3.380,3.361,3.371,2.260,2.231,3.820,3.892,3.848,4.005,4.159,4.028,3.994,0.591,3.594,2.939,2.510,1.730,2.399,1.980,2.399,1.003,3.645,3.562,3.666,4.099,3.916,4.032,2.088,2.286,1.730
Extranjero,Masculino,55 a 64,10137,2.422,0.822,0.656,1.823,3.388,3.386,3.389,2.217,2.192,3.746,3.840,3.802,3.950,4.136,4.009,3.917,0.598,3.478,2.788,2.381,1.410,2.127,1.699,2.271,0.808,3.675,3.586,3.657,4.084,3.868,3.995,2.024,2.152,1.633
Extranjero,Masculino,65 a 75,4768,2.356,0.706,0.573,1.710,3.434,3.507,3.517,2.274,2.255,3.703,3.806,3.769,3.934,4.073,3.973,3.813,0.568,3.451,2.612,2.215,1.152,1.914,1.517,2.083,0.574,3.727,3.690,3.710,4.094,3.873,3.999,2.044,2.043,1.624
Extranjero,Masculino,76 o mas,746,2.263,0.607,0.484,1.732,3.500,3.591,3.627,2.377,2.398,3.882,3.912,3.783,3.971,4.040,3.842,3.580,0.465,3.417,2.336,1.996,0.952,1.635,1.315,1.669,0.558,3.575,3.566,3.649,4.092,3.901,3.958,2.068,2.017,1.505
No informado, , ,35,3.629,1.257,1.200,2.429,3.914,3.800,3.771,2.829,3.000,4.029,4.114,4.000,4.400,4.114,4.114,4.086,0.143,3.886,3.086,2.971,2.486,2.571,2.229,2.286,1.629,3.400,3.343,3.371,3.857,3.857,4.000,2.371,1.971,1.829
No informado, ,22 a 25,2,2.000,0.000,0.000,2.000,4.000,4.000,2.500,4.000,4.000,2.000,3.500,4.000,4.000,4.000,4.000,3.500,0.000,2.000,2.000,2.000,2.500,2.500,2.500,2.500,2.500,3.500,2.500,4.000,4.000,4.000,4.000,0.000,4.000,1.500
No informado, ,26 a 34,43,3.512,0.977,0.884,2.628,3.326,3.326,3.302,2.256,2.163,3.535,3.721,3.512,3.767,3.465,3.488,3.791,0.093,3.698,2.814,2.884,2.256,2.442,2.326,2.674,1.395,3.512,3.349,3.628,3.535,3.930,4.023,2.628,2.744,1.767
No informado, ,35 a 44,30,2.833,1.267,0.967,2.400,3.533,3.533,3.233,1.533,1.167,3.967,4.000,4.000,3.967,3.867,3.767,3.700,0.267,3.767,3.000,2.633,1.900,2.767,2.300,2.433,1.067,3.100,2.400,3.067,3.800,3.867,3.967,1.800,2.333,1.667
No informado, ,45 a 54,38,2.526,0.500,0.632,2.079,3.368,3.684,3.421,2.158,2.158,3.658,3.632,3.895,3.921,3.553,3.658,3.474,0.447,3.342,2.763,2.842,2.395,2.474,2.237,2.421,1.553,3.895,3.421,3.368,3.868,3.711,3.447,2.105,2.105,1.132
No informado, ,55 a 64,22,3.955,1.273,1.318,2.591,3.409,3.818,3.682,1.545,2.000,3.636,3.591,3.500,3.318,3.727,3.682,3.864,0.000,3.500,3.045,2.500,3.045,3.000,3.227,2.864,1.455,3.682,3.545,3.545,4.136,4.091,3.818,2.364,2.773,2.045
No informado, ,65 a 75,39,3.128,0.564,0.769,2.308,3.846,3.513,3.538,2.795,2.744,3.667,3.744,3.769,3.872,3.923,3.513,3.692,0.256,3.513,2.564,2.385,1.538,2.128,1.923,2.256,0.564,2.949,2.872,2.923,3.769,3.718,3.974,1.923,2.385,1.410
No informado, ,76 o mas,7,2.571,0.000,0.000,0.857,3.286,2.429,2.571,1.571,1.429,3.143,3.000,3.000,2.571,3.143,2.571,2.714,0.143,2.857,2.143,1.857,0.429,0.857,0.143,0.714,0.000,3.000,2.714,1.714,2.429,2.857,3.143,2.286,1.143,1.571
No informado,Femenino, ,6,3.167,1.667,0.833,2.333,2.500,2.667,3.000,2.167,3.000,3.167,3.500,3.167,3.500,4.000,3.667,3.500,0.333,4.333,3.000,3.333,3.167,2.667,2.500,2.167,2.333,2.333,2.500,3.333,3.833,4.000,4.000,2.333,1.167,2.667
No informado,Femenino,16 a 21,41,4.171,0.951,0.927,3.317,4.171,4.390,4.244,3.488,3.585,4.537,4.220,4.146,4.634,4.537,4.171,4.561,0.000,4.073,3.537,3.439,3.146,3.488,3.171,3.537,3.000,4.024,4.024,4.268,4.366,4.366,4.366,3.293,3.634,3.098
No informado,Femenino,22 a 25,108,3.565,0.926,0.991,3.306,3.972,3.815,3.759,3.000,2.907,4.296,4.194,4.194,4.306,4.278,4.315,4.324,0.565,4.222,3.685,3.602,3.287,3.463,2.917,3.454,2.500,4.287,4.046,4.065,4.157,4.324,4.269,2.333,2.565,2.065
No informado,Femenino,26 a 34,186,1.215,0.366,0.355,2.204,2.984,2.962,2.855,2.548,2.414,3.532,3.559,3.661,3.720,3.914,3.930,3.849,2.323,3.801,3.409,3.022,2.220,2.898,2.505,3.124,1.586,3.887,3.898,3.882,4.220,3.925,4.043,2.478,2.430,2.215
No informado,Femenino,35 a 44,39,2.949,1.154,0.974,2.590,3.692,3.487,3.179,2.538,2.282,3.718,3.846,3.718,3.769,4.359,4.000,4.256,0.231,3.359,2.744,2.667,1.692,2.513,2.154,2.231,1.205,3.385,3.462,3.410,3.769,3.872,4.026,1.667,2.128,1.282
