sponsor	picture	grupo	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Gilead	https://g.foolcdn.com/art/companylogos/square/gild.png	1	180	0	2306	3679	9493	1527	2799	1484	3707	897	4379	10845	8345	12811	6603	6352	15447	8621	1254
AbbVie	https://thumbor.forbes.com/thumbor/416x416/filters%3Aformat%28jpg%29/https%3A%2F%2Fi.forbesimg.com%2Fmedia%2Flists%2Fcompanies%2Fabbvie_416x416.jpg	1	799		86	207	215	220	575	3499	6648	2532	3847	3472	9369	10969	11972	10895	9652	14944	17622
Bayer	https://pbs.twimg.com/profile_images/1155720249502773248/rvVzbAsP_400x400.jpg	1	1063	984	5206	54849	17788	10946	19344	38368	11267	7478	6121	8474	4940	36340	18216	22454	4167	5511	5606
JNJ	https://media.licdn.com/dms/image/C4D0BAQFwn8CHaum_AA/company-logo_200_200/0?e=2159024400&v=beta&t=ZyN26tbb_CBn_a-YrYah5aV5lMzSPSlUr8mDqC7Whuo	1	8523	15090	7476	10821	17614	10485	36204	25139	31800	18856	16473	11597	12823	18971	35334	19680	6742	12135	9073
Roche	http://www.marcasur.com/archivos/destacado_portada/3253.jpg	1	605	6357	17500	11771	24681	16021	20690	18213	83524	17952	26674	36165	18483	13432	19604	18161	11787	14639	19875
Pfizer	https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0010/2598/brand.gif	2	6910	30612	54479	42040	59622	43153	81864	51447	121119	42626	27960	31334	29412	43769	20597	12299	10091	4227	17891
Sanofi	https://prnoticias.com/media/k2/items/cache/1cbdccd42add14fed62dd676837dc047_XL.jpg	2	2635	33809	64015	77261	39351	58999	102597	44804	46604	34655	59677	87583	42029	31364	13000	22765	24908	25879	28760
Novartis	https://tubecabolivia.com/wp-content/uploads/2018/11/Novartis.jpg	2	2694	2893	27341	40655	70756	58532	56795	98419	67688	81069	66674	52076	52560	53844	31610	25812	27562	20893	23127
Merck	https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Merck-logousa.svg/1280px-Merck-logousa.svg.png	2	13451	104500	58690	84367	71558	57064	54726	153565	54491	29553	32639	34575	47302	27282	18749	19102	16416	10785	26558
GSK	https://www.ser.es/wp-content/uploads/2017/06/GSK-logo-2014.png	2	20498	18904	64905	165264	63764	67105	103297	94430	102274	126903	88358	79427	45095	32757	114458	86436	53564	15739	26860
