Question,Respondent,Response %,Frequency
% of US teens/parents who say they spend too much time on their cellphone,Teens,54,na
% of US teens/parents who say they spend too much time on their cellphone,Parents,36,na
% of US teens/parents who say they check phone for messages as soon as they wake up,Teens,44,Often
% of US teens/parents who say they check phone for messages as soon as they wake up,Parents,26,Often
% of US teens/parents who say they check phone for messages as soon as they wake up,Teens,28,Sometimes
% of US teens/parents who say they check phone for messages as soon as they wake up,Parents,32,Sometimes
% of US teens/parents who say they feel their parent/teen is distracted by their phone when having in-person conversations,Teens,14,Often
% of US teens/parents who say they feel their parent/teen is distracted by their phone when having in-person conversations,Parents,30.0,Often
% of US teens/parents who say they feel their parent/teen is distracted by their phone when having in-person conversations,Teens,37,Sometimes
% of US teens/parents who say they feel their parent/teen is distracted by their phone when having in-person conversations,Parents,42,Sometimes
% of US teens/parents who say they lose focus in class/work because they are checking cellphone,Teens,8,Often
% of US teens/parents who say they lose focus in class/work because they are checking cellphone,Parents,15,Often
% of US teens/parents who say they lose focus in class/work because they are checking cellphone,Teens,23,Sometimes
% of US teens/parents who say they lose focus in class/work because they are checking cellphone,Parents,24,Sometimes
